,ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,YEARS_EMPLOYED,YEARS_ALIVE,ON_TIME_RATE,ON_TIME,Higher education,Secondary / secondary special,Incomplete higher,Lower secondary,Academic degree
0,5008804,1,1,0,427500,1,0,0,2,12.44,32.89,87.5,1,0.0,1.0,0.0,0.0,0.0
16,5008805,1,1,0,427500,1,0,0,2,12.44,32.89,86.66666666666667,1,0.0,1.0,0.0,0.0,0.0
31,5008806,1,1,0,112500,0,0,0,2,3.11,58.83,76.66666666666667,1,0.0,0.0,0.0,0.0,1.0
61,5008808,0,1,0,270000,0,1,1,1,8.36,52.36,60.0,0,0.0,0.0,0.0,0.0,1.0
66,5008809,0,1,0,270000,0,1,1,1,8.36,52.36,100.0,1,0.0,0.0,0.0,0.0,1.0
71,5008810,0,1,0,270000,0,1,1,1,8.36,52.36,77.77777777777779,1,0.0,0.0,0.0,0.0,1.0
98,5008811,0,1,0,270000,0,1,1,1,8.36,52.36,84.61538461538461,1,0.0,0.0,0.0,0.0,1.0
137,5008812,0,1,0,283500,0,0,0,1,0.0,61.55,17.647058823529413,0,0.0,1.0,0.0,0.0,0.0
154,5008813,0,1,0,283500,0,0,0,1,0.0,61.55,17.647058823529413,0,0.0,1.0,0.0,0.0,0.0
171,5008814,0,1,0,283500,0,0,0,1,0.0,61.55,17.647058823529413,0,0.0,1.0,0.0,0.0,0.0
188,5008815,1,1,0,270000,1,1,1,2,2.11,46.22,0.0,0,0.0,1.0,0.0,0.0,0.0
194,5112956,1,1,0,270000,1,1,1,2,2.11,46.22,18.6046511627907,0,0.0,1.0,0.0,0.0,0.0
237,5008819,1,1,0,135000,0,0,0,2,3.27,48.71,100.0,1,0.0,0.0,0.0,0.0,1.0
245,5008820,1,1,0,135000,0,0,0,2,3.27,48.71,88.88888888888889,1,0.0,0.0,0.0,0.0,1.0
254,5008821,1,1,0,135000,0,0,0,2,3.27,48.71,33.33333333333333,0,0.0,0.0,0.0,0.0,1.0
263,5008822,1,1,0,135000,0,0,0,2,3.27,48.71,88.88888888888889,1,0.0,0.0,0.0,0.0,1.0
272,5008823,1,1,0,135000,0,0,0,2,3.27,48.71,20.0,0,0.0,0.0,0.0,0.0,1.0
277,5008824,1,1,0,135000,0,0,0,2,3.27,48.71,0.0,0,0.0,0.0,0.0,0.0,1.0
281,5008825,1,0,0,130500,0,0,0,2,3.02,29.23,0.0,0,0.0,0.0,1.0,0.0,0.0
307,5008826,1,0,0,130500,0,0,0,2,3.02,29.23,60.0,0,0.0,0.0,1.0,0.0,0.0
337,5008830,0,1,0,157500,0,1,0,2,4.02,27.48,53.125,0,0.0,0.0,0.0,0.0,1.0
369,5008831,0,1,0,157500,0,1,0,2,4.02,27.48,25.0,0,0.0,0.0,0.0,0.0,1.0
389,5008832,0,1,0,157500,0,1,0,2,4.02,27.48,57.14285714285714,0,0.0,0.0,0.0,0.0,1.0
424,5008834,0,1,1,112500,0,0,0,2,4.44,30.05,88.88888888888889,1,0.0,0.0,0.0,0.0,1.0
469,5008835,0,1,1,112500,0,0,0,2,4.44,30.05,82.35294117647058,1,0.0,0.0,0.0,0.0,1.0
486,5008836,1,1,3,270000,0,0,0,5,3.19,34.76,94.11764705882352,1,0.0,0.0,0.0,0.0,1.0
503,5008837,1,1,3,270000,0,0,0,5,3.19,34.76,94.11764705882352,1,0.0,0.0,0.0,0.0,1.0
520,5008838,0,1,1,405000,0,0,0,3,5.52,32.44,6.451612903225806,0,0.0,1.0,0.0,0.0,0.0
551,5008839,0,1,1,405000,0,0,0,3,5.52,32.44,28.57142857142857,0,0.0,1.0,0.0,0.0,0.0
565,5008840,0,1,1,405000,0,0,0,3,5.52,32.44,82.14285714285714,1,0.0,1.0,0.0,0.0,0.0
621,5008841,0,1,1,405000,0,0,0,3,5.52,32.44,20.0,0,0.0,1.0,0.0,0.0,0.0
626,5008842,0,1,1,405000,0,0,0,3,5.52,32.44,0.0,0,0.0,1.0,0.0,0.0,0.0
635,5008843,0,1,1,405000,0,0,0,3,5.52,32.44,66.66666666666666,0,0.0,1.0,0.0,0.0,0.0
665,5008844,1,1,0,112500,0,1,0,2,12.19,56.17,21.21212121212121,0,0.0,0.0,0.0,0.0,1.0
698,5008846,1,1,0,112500,0,1,0,2,12.19,56.17,0.0,0,0.0,0.0,0.0,0.0,1.0
710,5008847,1,1,0,112500,0,1,0,2,12.19,56.17,21.21212121212121,0,0.0,0.0,0.0,0.0,1.0
743,5008849,1,1,0,112500,0,1,0,2,12.19,56.17,58.333333333333336,0,0.0,0.0,0.0,0.0,1.0
755,5008850,1,1,0,112500,0,1,0,2,12.19,56.17,0.0,0,0.0,0.0,0.0,0.0,1.0
781,5008851,1,1,0,112500,0,1,0,2,12.19,56.17,0.0,0,0.0,0.0,0.0,0.0,1.0
793,5008852,1,1,0,112500,0,1,0,2,12.19,56.17,0.0,0,0.0,0.0,0.0,0.0,1.0
794,5008853,1,1,0,112500,0,1,0,2,12.19,56.17,31.25,0,0.0,0.0,0.0,0.0,1.0
810,5008854,1,1,2,135000,0,0,0,4,8.69,43.18,0.0,0,0.0,0.0,0.0,0.0,1.0
812,5008855,1,1,2,135000,0,0,0,4,8.69,43.18,79.3103448275862,1,0.0,0.0,0.0,0.0,1.0
841,5008856,1,1,2,135000,0,0,0,4,8.69,43.18,0.0,0,0.0,0.0,0.0,0.0,1.0
845,5008857,1,1,2,135000,0,0,0,4,8.69,43.18,100.0,1,0.0,0.0,0.0,0.0,1.0
873,5008858,1,1,2,135000,0,0,0,4,8.69,43.18,9.090909090909092,0,0.0,0.0,0.0,0.0,1.0
884,5008859,1,1,2,135000,0,0,0,4,8.69,43.18,0.0,0,0.0,0.0,0.0,0.0,1.0
889,5008860,1,1,2,135000,0,0,0,4,8.69,43.18,25.0,0,0.0,0.0,0.0,0.0,1.0
893,5008861,1,1,2,135000,0,0,0,4,8.69,43.18,25.0,0,0.0,0.0,0.0,0.0,1.0
897,5008862,1,1,2,135000,0,0,0,4,8.69,43.18,33.33333333333333,0,0.0,0.0,0.0,0.0,1.0
900,5008863,1,1,2,135000,0,0,0,4,8.69,43.18,0.0,0,0.0,0.0,0.0,0.0,1.0
902,5008864,1,1,2,135000,0,0,0,4,8.69,43.18,33.33333333333333,0,0.0,0.0,0.0,0.0,1.0
905,5008865,1,1,2,135000,0,0,0,4,8.69,43.18,0.0,0,0.0,0.0,0.0,0.0,1.0
907,5008866,1,1,2,135000,0,0,0,4,8.69,43.18,0.0,0,0.0,0.0,0.0,0.0,1.0
909,5008867,1,1,2,135000,0,0,0,4,8.69,43.18,50.0,0,0.0,0.0,0.0,0.0,1.0
913,5112846,1,1,2,135000,0,0,0,4,8.69,43.18,100.0,1,0.0,0.0,0.0,0.0,1.0
917,5008868,0,1,1,211500,0,0,0,3,19.45,44.42,0.0,0,0.0,0.0,0.0,0.0,1.0
942,5008870,0,1,1,211500,0,0,0,3,19.45,44.42,0.0,0,0.0,0.0,0.0,0.0,1.0
954,5008872,1,1,0,360000,0,1,0,2,14.7,45.67,18.181818181818183,0,0.0,0.0,0.0,0.0,1.0
965,5008873,0,1,2,126000,0,0,1,4,4.86,34.0,72.72727272727273,0,0.0,1.0,0.0,0.0,0.0
987,5008874,0,1,2,126000,0,0,1,4,4.86,34.0,86.95652173913044,1,0.0,1.0,0.0,0.0,0.0
1033,5008875,0,1,2,126000,0,0,1,4,4.86,34.0,77.5,1,0.0,1.0,0.0,0.0,0.0
1073,5008876,0,1,2,126000,0,0,1,4,4.86,34.0,93.18181818181817,1,0.0,1.0,0.0,0.0,0.0
1117,5008877,0,1,2,126000,0,0,1,4,4.86,34.0,25.0,0,0.0,1.0,0.0,0.0,0.0
1125,5008878,0,1,2,126000,0,0,1,4,4.86,34.0,0.0,0,0.0,1.0,0.0,0.0,0.0
1137,5008879,0,1,2,126000,0,0,1,4,4.86,34.0,72.72727272727273,0,0.0,1.0,0.0,0.0,0.0
1159,5008880,0,1,2,126000,0,0,1,4,4.86,34.0,45.45454545454545,0,0.0,1.0,0.0,0.0,0.0
1170,5008881,0,1,2,126000,0,0,1,4,4.86,34.0,70.0,0,0.0,1.0,0.0,0.0,0.0
1190,5008882,0,1,2,126000,0,0,1,4,4.86,34.0,77.5,1,0.0,1.0,0.0,0.0,0.0
1230,5008884,0,1,0,315000,0,0,0,1,0.0,55.3,90.2439024390244,1,0.0,0.0,0.0,0.0,1.0
1271,5008888,0,1,0,247500,0,0,0,1,3.69,46.62,33.33333333333333,0,0.0,1.0,0.0,0.0,0.0
1277,5008889,0,1,0,247500,0,0,0,1,3.69,46.62,40.0,0,0.0,1.0,0.0,0.0,0.0
1282,5008890,0,1,0,247500,0,0,0,1,3.69,46.62,33.33333333333333,0,0.0,1.0,0.0,0.0,0.0
1288,5112847,0,1,0,247500,0,0,0,1,3.69,46.62,33.33333333333333,0,0.0,1.0,0.0,0.0,0.0
1294,5008891,0,1,0,297000,0,0,0,1,8.86,42.52,87.5,1,0.0,0.0,0.0,0.0,1.0
1302,5008892,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1318,5008893,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
1355,5008894,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
1392,5008895,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
1427,5008896,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1443,5008897,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1459,5008898,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
1480,5008899,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1496,5008900,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
1517,5008901,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
